Player,Place_of_Birth,Race,From,To,Pos,Ht,Wt,Birth Date,College
Mark Bryant,New Jersey,Black,1989,2003,F-C,6-9,245,"April 25, 1965",Seton Hall University
Wallace Bryant,Spain,White,1984,1986,C,7-0,245,"July 14, 1959",University of San Francisco
Torgeir Bryn,Norway,White,1990,1990,C,6-9,250,"August 8, 1964",Texas State University
Steve Bucknall,England,White,1990,1990,G,6-6,215,"March 17, 1966",University of North Carolina
Greg Buckner,Kentucky,Black,2000,2009,G,6-4,210,"September 16, 1976",Clemson University
Quinn Buckner,Illinois,Black,1977,1986,G,6-3,190,"August 20, 1954",Indiana University
Chase Budinger,California,White,2010,2016,F,6-7,209,"May 22, 1988",University of Arizona
Jud Buechler,California,White,1991,2002,F-G,6-6,220,"June 19, 1968",University of Arizona
Rodney Buford,Wisconsin,Black,2000,2005,G-F,6-5,189,"November 2, 1977",Creighton University
Matt Bullard,Iowa,White,1991,2002,F,6-10,215,"June 5, 1967",University of Iowa
Reggie Bullock,Maryland,Black,2014,2016,G-F,6-7,205,"March 16, 1991",University of North Carolina
Pat Burke,Ireland,White,2003,2007,C-F,6-11,250,"December 14, 1973",Auburn University
Trey Burke,Ohio,Black,2014,2016,G,6-1,191,"November 12, 1992",University of Michigan
Alec Burks,Missouri,Black,2012,2016,G,6-6,214,"July 20, 1991",University of Colorado
Antonio Burks,Tennessee,Black,2005,2006,G,6-1,200,"February 25, 1980",University of Memphis
Kevin Burleson,Washington,Black,2006,2006,G,6-3,205,"April 9, 1979",University of Minnesota
Evers Burns,Maryland,Black,1994,1994,F,6-8,260,"August 24, 1971",University of Maryland
Scott Burrell,Connecticut,Black,1994,2001,G-F,6-7,218,"January 12, 1971",University of Connecticut
Junior Burrough,North Carolina,Black,1996,1996,F,6-8,242,"January 18, 1973",University of Virginia
Willie Burton,Michigan,Black,1991,1999,F-G,6-8,210,"May 26, 1968",University of Minnesota
Steve Burtt,New York,Black,1985,1993,G,6-2,185,"November 5, 1962",Iona College
Don Buse,Indiana,Black,1973,1985,G,6-4,190,"August 10, 1950",University of Evansville
Caron Butler,Wisconsin,Black,2003,2016,F,6-7,228,"March 13, 1980",University of Connecticut
Greg Butler,California,Black,1989,1991,C,6-11,240,"March 11, 1966",Stanford University
Jackie Butler,Mississippi,Black,2005,2007,F-C,6-10,250,"March 10, 1985",
Jimmy Butler,Texas,Black,2012,2016,G-F,6-7,220,"September 14, 1989",Marquette University
Mitchell Butler,California,Black,1994,2004,G-F,6-5,210,"December 15, 1970","University of California, Los Angeles"
Rasual Butler,Pennsylvania,Black,2003,2016,G-F,6-7,215,"May 23, 1979",La Salle University
Dwight Buycks,Wisconsin,Black,2014,2015,G,6-3,190,"March 6, 1989",Marquette University
Derrick Byars,Tennessee,Black,2012,2012,F,6-7,220,"April 25, 1984",Vanderbilt University
Andrew Bynum,New Jersey,Black,2006,2014,C,7-0,285,"October 27, 1987",
Will Bynum,Illinois,Black,2006,2015,G,6-0,185,"January 4, 1983",Georgia Institute of Technology
Zarko Cabarkapa,Serbia,White,2004,2006,F,6-11,235,"May 21, 1981",
Bruno Caboclo,Brazil,Black,2015,2016,F,6-9,205,"September 21, 1995",
Jason Caffey,Alabama,Black,1996,2003,F,6-8,255,"June 12, 1973",University of Alabama
Michael Cage,Arkansas,Black,1985,2000,F-C,6-9,224,"January 28, 1962",San Diego State University
Nick Calathes,Florida,White,2014,2015,G,6-6,213,"February 7, 1989",University of Florida
Jose Calderon,Spain,White,2006,2016,G,6-3,200,"September 28, 1981",
Adrian Caldwell,Texas,Black,1990,1998,F-C,6-8,265,"July 4, 1966",Lamar University
Kentavious Caldwell-Pope,Georgia,Black,2014,2016,G,6-5,205,"February 18, 1993",University of Georgia
Demetrius Calip,Michigan,Black,1992,1992,G,6-1,165,"November 18, 1969",University of Michigan
Rick Calloway,Ohio,Black,1991,1991,F,6-6,180,"December 12, 1966",University of Kansas
Dexter Cambridge,Bahamas,Black,1993,1993,F,6-7,224,"January 29, 1970",University of Texas at Austin
Marcus Camby,Connecticut,Black,1997,2013,C-F,6-11,220,"March 22, 1974",University of Massachusetts Amherst
Elden Campbell,California,Black,1991,2005,C,6-11,215,"July 23, 1968",Clemson University
Tony Campbell,New Jersey,Black,1985,1995,F-G,6-7,215,"May 7, 1962",Ohio State University
Isaiah Canaan,Mississippi,Black,2014,2016,G,6-0,201,"May 21, 1991",Murray State University
Clint Capela,Switzerland,Black,2015,2016,C,6-10,240,"May 18, 1994",
Derrick Caracter,New Jersey,Black,2011,2011,F,6-9,275,"May 4, 1988",University of Texas at El Paso
Brian Cardinal,Illinois,White,2001,2012,F,6-8,245,"May 2, 1977",Purdue University
Geno Carlisle,Michigan,Black,2005,2005,G,6-3,180,"August 13, 1976",University of California
Rick Carlisle,New York,White,1985,1990,G,6-5,210,"October 27, 1959",University of Virginia
Rodney Carney,Indiana,Black,2007,2011,F,6-7,205,"April 15, 1984",University of Memphis
Antoine Carr,Oklahoma,Black,1985,2000,F-C,6-9,225,"July 23, 1961",Wichita State University
Chris Carr,Missouri,Black,1996,2001,G,6-5,207,"March 12, 1974",Southern Illinois University
Cory Carr,Arkansas,Black,1999,1999,G,6-3,210,"December 5, 1975",Texas Tech University
Kenny Carr,District of Columbia,Black,1978,1987,F,6-7,220,"August 15, 1955",North Carolina State University
M.L. Carr,North Carolina,Black,1976,1985,F-G,6-6,205,"January 9, 1951",Guilford College
DeMarre Carroll,Alabama,Black,2010,2016,F,6-8,212,"July 27, 1986",University of Missouri
Joe Barry Carroll,Arkansas,Black,1981,1991,C-F,7-0,225,"July 24, 1958",Purdue University
Matt Carroll,Pennsylvania,White,2004,2013,G,6-6,212,"August 28, 1980",University of Notre Dame
Jimmy Carruth,Texas,Black,1997,1997,C-F,6-10,265,"November 4, 1969",Virginia Polytechnic Institute and State University
Anthony Carter,Wisconsin,Black,2000,2012,G,6-1,190,"June 16, 1975",University of Hawaii
Butch Carter,Ohio,Black,1981,1986,G,6-5,180,"June 11, 1958",Indiana University
Howard Carter,Louisiana,Black,1984,1985,G,6-5,215,"October 26, 1961",Louisiana State University
Maurice Carter,Mississippi,Black,2004,2004,G,6-5,210,"October 12, 1976",Louisiana State University
Vince Carter,Florida,Black and White,1999,2016,G-F,6-6,220,"January 26, 1977",University of North Carolina
Michael Carter-Williams,Massachusetts,Black and White,2014,2016,G,6-6,190,"October 10, 1991",Syracuse University
Bill Cartwright,California,Black,1980,1995,C,7-1,245,"July 30, 1957",University of San Francisco
Sam Cassell,Maryland,Black,1994,2008,G,6-3,185,"November 18, 1969",Florida State University
Omri Casspi,Israel,White,2010,2016,F,6-9,225,"June 22, 1988",
Harvey Catchings,Mississippi,Black,1975,1985,C-F,6-9,218,"September 2, 1951",Hardin-Simmons University
Terry Catledge,Mississippi,Black,1986,1993,F,6-8,220,"August 22, 1963",University of South Alabama
Kelvin Cato,Georgia,Black,1998,2007,C,6-11,255,"August 26, 1974",Iowa State University
Bobby Cattage,Alabama,Black,1982,1986,F,6-9,250,"August 17, 1958",Auburn University
Willie Cauley-Stein,Kansas,Black and White,2016,2016,F-C,7-0,240,"August 18, 1993",University of Kentucky
Duane Causwell,New York,Black,1991,2001,C,7-0,240,"May 31, 1968",Temple University
Ron Cavenall,Texas,Black,1985,1989,C,7-1,230,"April 30, 1959",Texas Southern University
Cedric Ceballos,Hawaii,Black,1991,2001,F,6-6,190,"August 2, 1969","California State University, Fullerton"
John Celestand,Texas,Black,2000,2000,G,6-4,178,"March 6, 1977",Villanova University
Lionel Chalmers,New York,Black,2005,2005,G,6-0,180,"November 10, 1980",Xavier University
Mario Chalmers,Alaska,Black,2009,2016,G,6-2,190,"May 19, 1986",University of Kansas
Tom Chambers,Utah,White,1982,1998,F-C,6-10,220,"June 21, 1959",University of Utah
Mike Champion,Washington,Black,1989,1989,F,6-10,230,"April 5, 1964",Gonzaga University
Tyson Chandler,California,Black and White,2002,2016,C,7-1,240,"October 2, 1982",
Wilson Chandler,Michigan,Black,2008,2015,F,6-8,225,"May 10, 1987",DePaul University
Rex Chapman,Kentucky,White,1989,2000,G,6-4,185,"October 5, 1967",University of Kentucky
Lorenzo Charles,New York,Black,1986,1986,F,6-7,225,"November 25, 1963",North Carolina State University
Calbert Cheaney,Indiana,Black,1994,2006,G-F,6-7,209,"July 17, 1971",Indiana University
Maurice Cheeks,Illinois,Black,1979,1993,G,6-1,180,"September 8, 1956",West Texas A&M University
Will Cherry,California,Black,2015,2015,G,6-0,185,"February 8, 1991",University of Montana
Derrick Chievous,New York,Black,1989,1991,F,6-7,195,"July 3, 1967",University of Missouri
Pete Chilcutt,South Carolina,Black,1992,2000,F-C,6-10,230,"September 14, 1968",University of North Carolina
Josh Childress,California,Black,2005,2014,G-F,6-8,210,"June 20, 1983",Stanford University
Randolph Childress,District of Columbia,Black,1996,1997,G,6-2,188,"September 21, 1972",Wake Forest University
Chris Childs,California,Black,1995,2003,G,6-3,195,"November 20, 1967",Boise State University
Doug Christie,Washington,Black and White,1993,2007,G-F,6-6,200,"May 9, 1970",Pepperdine University
Dionte Christmas,Pennsylvania,Black,2014,2014,G,6-5,205,"September 15, 1986",Temple University
Patrick Christopher,California,Black,2015,2015,G-F,6-5,209,"June 3, 1988",University of California
Robert Churchwell,Indiana,Black,1996,1996,G-F,6-6,195,"February 20, 1972",Georgetown University
Carlos Clark,Tennessee,Black and White,1984,1985,G,6-4,210,"August 10, 1960",University of Mississippi
Earl Clark,New Jersey,Black,2010,2015,F,6-10,225,"January 17, 1988",University of Louisville
Ian Clark,Tennessee,Black,2014,2016,G,6-3,175,"March 7, 1991",Belmont University
Keon Clark,Illinois,Black,1999,2004,F,6-11,220,"April 16, 1975","University of Nevada, Las Vegas"
Jordan Clarkson,Florida,Black,2015,2016,G,6-5,185,"June 7, 1992",University of Missouri
Victor Claver,Spain,White,2013,2015,F,6-9,224,"August 30, 1988",
Charles Claxton,U.S. Virgin Islands,Black,1996,1996,C,7-0,265,"December 13, 1970",University of Georgia
Speedy Claxton,New York,Black,2002,2009,G,5-11,166,"May 8, 1978",Hofstra University
Mateen Cleaves,Michigan,Black,2001,2006,G,6-2,205,"September 7, 1977",Michigan State University
Keith Closs,Connecticut,Black,1998,2000,C,7-3,212,"April 3, 1976",Central Connecticut State University
Richard Coffey,North Carolina,Black,1991,1991,F,6-6,212,"September 2, 1965",University of Minnesota
Fred Cofield,Michigan,Black,1986,1987,G,6-3,190,"January 4, 1962",Eastern Michigan University
John Coker,Washington,Black,1996,2001,C,7-0,253,"October 28, 1971",Boise State University
Norris Cole,Ohio,Black,2012,2016,G,6-2,175,"October 13, 1988",Cleveland State University
Ben Coleman,Minnesota,Black,1987,1994,F,6-9,235,"November 14, 1961",University of Maryland
Derrick Coleman,Alabama,Black,1991,2005,F,6-10,230,"June 21, 1967",Syracuse University
Norris Coleman,Florida,Black,1988,1988,F,6-8,210,"September 27, 1961",Kansas State University
Bimbo Coles,Virginia,Black,1991,2004,G,6-1,180,"April 22, 1968",Virginia Polytechnic Institute and State University
Jason Collier,Ohio,White,2001,2005,C,7-0,260,"September 8, 1977",Georgia Institute of Technology
Don Collins,Ohio,Black,1981,1987,F-G,6-6,190,"November 28, 1958",Washington State University
James Collins,Florida,Black,1998,1998,G,6-4,196,"November 5, 1973",Florida State University
Jarron Collins,California,Black,2002,2011,F-C,6-11,255,"December 2, 1978",Stanford University
Jason Collins,California,Black,2002,2014,C,7-0,255,"December 2, 1978",Stanford University
Mardy Collins,Pennsylvania,Black,2007,2010,G,6-6,220,"August 4, 1984",Temple University
Sherron Collins,Illinois,Black,2011,2011,G,5-11,205,"March 18, 1987",University of Kansas
Darren Collison,California,Black,2010,2016,G,6-0,175,"August 23, 1987","University of California, Los Angeles"
Nick Collison,Iowa,White,2005,2016,F,6-10,255,"October 26, 1980",University of Kansas
Sean Colson,Pennsylvania,Black,2001,2001,G,6-0,175,"July 1, 1975",University of North Carolina at Charlotte
Steve Colter,Arizona,Black,1985,1995,G,6-3,165,"July 24, 1962",New Mexico State University
Dallas Comegys,Pennsylvania,Black and White,1988,1989,F,6-9,205,"August 17, 1964",DePaul University
Mike Conley,Arkansas,Black,2008,2016,G,6-1,175,"October 11, 1987",Ohio State University
Marty Conlon,New York,White,1992,2000,F-C,6-10,224,"January 19, 1968",Providence College
Pat Connaughton,Massachusetts,White,2016,2016,G,6-5,206,"January 6, 1993",University of Notre Dame
Lester Conner,Tennessee,Black,1983,1995,G,6-4,180,"September 17, 1959",Oregon State University
Will Conroy,Oregon,Black,2007,2013,G,6-2,195,"December 8, 1982",University of Washington
Anthony Cook,California,Black,1991,1996,F-C,6-9,205,"March 19, 1967",University of Arizona
Brian Cook,Illinois,Black,2004,2012,F,6-9,234,"December 4, 1980",University of Illinois at Urbana-Champaign
Daequan Cook,Ohio,Black,2008,2013,G,6-5,205,"April 28, 1987",Ohio State University
Darwin Cook,California,Black,1981,1989,G,6-3,184,"August 6, 1958",University of Portland
Jeff Cook,California,Black,1980,1988,F-C,6-10,215,"October 21, 1956",Idaho State University
Omar Cook,New York,Black,2004,2005,G,6-1,190,"January 28, 1982",St. John's University
David Cooke,California,Black,1986,1986,F,6-8,230,"September 27, 1963",Saint Mary's College of California
Jack Cooley,Illinois,White,2015,2015,F,6-9,260,"April 4, 1991",University of Notre Dame
Duane Cooper,Michigan,Black,1993,1994,G,6-1,185,"June 25, 1969",University of Southern California
Joe Cooper,Texas,Black,1982,1985,C-F,6-10,230,"September 1, 1957",University of Colorado
Michael Cooper,California,Black,1979,1990,G-F,6-5,170,"April 15, 1956",University of New Mexico
Wayne Cooper,Georgia,Black,1979,1992,C-F,6-10,220,"November 16, 1956",University of New Orleans
Tom Copa,Minnesota,Black and White,1992,1992,C,6-10,275,"October 30, 1964",Marquette University
Chris Copeland,New Jersey,Black,2013,2016,F,6-9,239,"March 17, 1984",University of Colorado
Lanard Copeland,Georgia,Black,1990,1992,G,6-6,190,"July 16, 1965",Georgia State University
Tyrone Corbin,South Carolina,Black,1986,2001,G-F,6-6,210,"December 31, 1962",DePaul University
Chris Corchiani,Florida,Black,1992,1994,G,6-0,185,"March 28, 1968",North Carolina State University
Dave Corzine,Illinois,White,1979,1991,C,6-11,250,"April 25, 1956",DePaul University
Bryce Cotton,Arizona,Black,2015,2016,G,6-1,165,"August 11, 1992",Providence College
James Cotton,California,Black,1998,1999,G,6-5,220,"December 14, 1975","California State University, Long Beach"
Joe Courtney,Mississippi,Black,1993,1997,F,6-8,235,"October 17, 1969",University of Southern Mississippi
Marcus Cousin,Maryland,Black,2011,2011,C,6-11,245,"December 18, 1986",University of Houston
DeMarcus Cousins,Alabama,Black,2011,2016,C-F,6-11,270,"August 13, 1990",University of Kentucky
Robert Covington,Illinois,Black,2014,2016,F,6-9,215,"December 14, 1990",Tennessee State University
Allen Crabbe,California,Black,2014,2016,G-F,6-6,210,"April 9, 1992",University of California
Chris Crawford,Michigan,White,1998,2004,F,6-9,235,"May 13, 1975",Marquette University
Jamal Crawford,Washington,Black,2001,2016,G,6-5,195,"March 20, 1980",University of Michigan
Joe Crawford,Michigan,Black,2009,2009,F,6-5,210,"June 17, 1986",University of Kentucky
Jordan Crawford,Michigan,Black,2011,2014,G,6-4,195,"October 23, 1988",Xavier University
Ron Crevier,Canada,Black,1986,1986,C,7-0,235,"April 14, 1958",Boston College
Joe Crispin,New Jersey,Black,2002,2002,G,6-0,185,"July 18, 1979",Pennsylvania State University
Charlie Criss,New York,Black,1978,1985,G,5-8,165,"November 6, 1948",New Mexico State University
Winston Crite,California,Black,1988,1989,F,6-7,233,"June 20, 1965",Texas A&M University
Javaris Crittenton,Georgia,Black,2008,2009,G,6-5,200,"December 31, 1987",Georgia Institute of Technology
Austin Croshere,California,White,1998,2009,F,6-9,235,"May 1, 1975",Providence College
Jeff Cross,Illinois,Black,1986,1986,F,6-10,240,"September 1, 1961",University of Maine
John Crotty,New Jersey,Black and White,1993,2003,G,6-1,185,"July 15, 1969",University of Virginia
Corey Crowder,Georgia,Black,1992,1995,G-F,6-5,214,"April 13, 1969",Kentucky Wesleyan College
Jae Crowder,Georgia,Black,2013,2016,F,6-6,235,"July 6, 1990",Marquette University
Pat Cummings,Pennsylvania,White,1980,1991,F-C,6-9,230,"July 11, 1956",University of Cincinnati
Terry Cummings,Illinois,Black,1983,2000,F,6-9,220,"March 15, 1961",DePaul University
Vonteego Cummings,Georgia,Black,2000,2002,G,6-3,185,"February 29, 1976",University of Pittsburgh
Dante Cunningham,Maryland,Black,2010,2016,F,6-8,230,"April 22, 1987",Villanova University
Jared Cunningham,California,Black and White,2013,2016,G,6-4,195,"May 22, 1991",Oregon State University
William Cunningham,Georgia,Black,1998,1999,C,6-11,250,"March 25, 1974",Temple University
Radisav Curcic,Serbia,White,1993,1993,C,6-10,275,"September 26, 1965",
Earl Cureton,Michigan,Black,1981,1997,F-C,6-9,210,"September 3, 1957",University of Detroit Mercy
Bill Curley,Massachusetts,Black,1995,2001,F,6-9,220,"May 29, 1972",Boston College
Dell Curry,Virginia,Black,1987,2002,G,6-4,190,"June 25, 1964",Virginia Polytechnic Institute and State University
Eddy Curry,Illinois,Black,2002,2013,C,7-0,295,"December 5, 1982",
JamesOn Curry,North Carolina,Black,2010,2010,G,6-3,190,"January 7, 1986",Oklahoma State University
Michael Curry,Alabama,Black,1994,2005,F-G,6-5,210,"August 22, 1968",Georgia Southern University
Seth Curry,North Carolina,Black and White,2014,2016,G,6-2,185,"August 23, 1990",Duke University
Stephen Curry,Ohio,Black and White,2010,2016,G,6-3,185,"March 14, 1988",Davidson College
Rastko Cvetkovic,Serbia,White,1996,1996,C,7-1,260,"June 22, 1970",
Quintin Dailey,Maryland,Black,1983,1992,G,6-3,180,"January 22, 1961",University of San Francisco
Samuel Dalembert,Haiti,Black,2002,2015,C,6-11,255,"May 10, 1981",Seton Hall University
Erick Dampier,Mississippi,Black,1997,2012,C,6-11,265,"July 14, 1975",Mississippi State University
Antonio Daniels,Ohio,Black,1998,2011,G,6-4,195,"March 19, 1975",Bowling Green State University
Erik Daniels,Ohio,Black and White,2005,2005,F,6-8,214,"April 1, 1982",University of Kentucky
